1621,"Lansingerland"
47,"Veendam"
542,"Krimpen aan den IJssel"
1719,"Drimmelen"
168,"Losser"
622,"Vlaardingen"
1742,"Rijssen-Holten"
786,"Grave"
277,"Rozendaal"
988,"Weert"
779,"Geertruidenberg"
356,"Nieuwegein"
344,"Utrecht"
342,"Soest"
1954,"Beekdaelen"
1685,"Landerd"
331,"Lopik"
815,"Mill en Sint Hubert"
59,"Achtkarspelen"
626,"Voorschoten"
654,"Borsele"
1706,"Cranendonck"
629,"Wassenaar"
770,"Eersel"
88,"Schiermonnikoog"
1681,"Borger-Odoorn"
498,"Drechterland"
737,"Tytsjerksteradiel"
484,"Alphen aan den Rijn"
766,"Dongen"
358,"Aalsmeer"
302,"Nunspeet"
851,"Steenbergen"
301,"Zutphen"
1702,"Sint Anthonis"
370,"Beemster"
34,"Almere"
867,"Waalwijk"
1903,"Eijsden-Margraten"
416,"Langedijk"
209,"Beuningen"
226,"Duiven"
1911,"Hollands Kroon"
757,"Boxtel"
193,"Zwolle"
1930,"Nissewaard"
437,"Ouder-Amstel"
98,"Weststellingwerf"
938,"Meerssen"
614,"Westvoorne"
269,"Oldebroek"
1884,"Kaag en Braassem"
307,"Amersfoort"
703,"Reimerswaal"
327,"Leusden"
246,"Heerde"
1966,"Het Hogeland"
200,"Apeldoorn"
244,"Hattem"
1859,"Berkelland"
855,"Tilburg"
293,"Westervoort"
1959,"Altena"
166,"Kampen"
394,"Haarlemmermeer"
1771,"Geldrop-Mierlo"
1892,"Zuidplas"
399,"Heiloo"
718,"Vlissingen"
457,"Weesp"
213,"Brummen"
579,"Oegstgeest"
971,"Stein"
995,"Lelystad"
225,"Druten"
373,"Bergen (NH)"
232,"Epe"
1940,"De Fryske Marren"
736,"De Ronde Venen"
677,"Hulst"
946,"Nederweert"
547,"Leiderdorp"
1525,"Teylingen"
1728,"Bladel"
762,"Deurne"
756,"Boxmeer"
784,"Gilze en Rijen"
1667,"Reusel-De Mierden"
505,"Dordrecht"
362,"Amstelveen"
252,"Heumen"
153,"Enschede"
1705,"Lingewaard"
375,"Beverwijk"
556,"Maassluis"
297,"Zaltbommel"
402,"Hilversum"
1904,"Stichtse Vecht"
1700,"Twenterand"
788,"Haaren"
1783,"Westland"
351,"Woudenberg"
1926,"Pijnacker-Nootdorp"
361,"Alkmaar"
177,"Raalte"
502,"Capelle aan den IJssel"
383,"Castricum"
1699,"Noordenveld"
917,"Heerlen"
589,"Oudewater"
796,"s-Hertogenbosch"
10,"Delfzijl"
221,"Doesburg"
1655,"Halderberge"
798,"Hilvarenbeek"
